Size (bp),ptc_1,ptc_2,ptc_3,ntc_1,ntc_2,ntc_3
293.16,2.23,-3.19,5.36,5.19,8.12,4.84
293.52,4.36,-2.44,4.51,4.69,9.31,5.01
293.88,7.33,-2.29,4.76,3.58,9.29,6.61
294.24,9.2,-1.98,5.55,2.43,8.29,6.09
294.6,9.31,-1.54,6.1,1.62,5.84,5.51
294.96,8.17,-1.02,5.87,1.09,4.45,5.1
295.32,7.09,0.18,4.76,0.85,3.41,4.73
295.68,6.76,1.62,4.13,1.07,3.05,4.79
296.04,6.63,1.73,5.6,1.39,3.06,5.2
296.4,6.31,0.59,8.39,1.28,3.41,5.68
296.76,5.89,-0.02,10.2,0.94,4.37,6.45
297.12,4.93,0.18,9.91,0.95,5.72,7.15
297.48,5.04,-0.25,8.57,1.61,6.44,7.13
297.84,5.86,-1.7,7.84,2.61,5.98,6.38
298.2,6.92,-3.19,8.06,2.95,5.08,5.27
298.56,7.06,-4.7,8.43,2.15,4.41,4.35
298.92,5.75,-4.48,8.47,0.77,4.02,4.15
299.28,3.7,-3.12,7.81,0.94,4.33,4.84
299.64,1.66,-1.32,6.18,1.36,5.27,6.34
300,0.16,-0.64,4.2,2.09,5.35,8.13
301,0.39,-1.32,2.86,3.41,3.97,9.2
301.43,3.23,-1.91,4.06,5.34,2.83,8.99
301.85,7.14,-1.38,5.87,6.86,3.5,7.91
302.28,9.26,-0.26,7.49,6.51,5.08,6.49
302.71,8.85,0.57,8.66,4.63,5.05,5.41
303.13,7.5,0.84,8.73,2.74,4.92,6.9
303.56,6.27,0.54,7.37,1.65,5,7.8
303.99,4.65,-1.74,5.86,2.02,4.08,7.76
304.41,2.56,-3.55,5.44,4.05,2.44,7.46
304.84,1.21,-4.95,5.64,5.91,1.46,7.29
305.27,1.83,-4.48,5.56,5.8,1.75,6.91
305.69,4.13,-1.89,4.8,4.7,2.61,6.22
306.12,6.41,1.28,3.81,4.84,3.15,5.77
306.55,7.28,3.66,3.93,6.29,3.41,5.9
306.97,6.86,5.02,5.79,6.87,3.57,5.76
307.4,6.12,5.41,8.04,5.57,3.29,4.49
307.83,6.21,4.63,8.91,3.83,2.9,2.85
308.25,6.94,2.9,8.29,2.72,3.18,1.94
308.68,7.26,1.04,7.63,1.94,3.83,1.65
309.11,6.37,-0.57,7.97,1.58,3.99,1.75
309.53,4.26,-2.63,8.69,3,3.58,2.82
309.96,2.02,-2.64,8.81,3.71,3.1,4.53
310.39,1.16,-2.64,8.6,4.18,3.01,5.57
310.81,2.36,-2.58,7.1,4.85,3.38,5.85
311.24,4.72,-1.27,5.25,5.82,3.43,6.55
311.67,6.72,1.45,4.17,6.15,1.98,7.58
312.09,7.76,3.56,4.12,4.82,2.41,7.94
312.52,7.82,3.53,4.35,2.7,3.59,7.69
312.95,6.82,2.02,4.65,2.02,5.21,6.31
313.37,5.31,0.19,5.1,3.22,7.4,5.1
313.8,4.41,-1.09,5.83,4.36,8.93,4.28
314.23,4.84,-1.1,7.07,3.7,8.18,3.85
314.66,6.46,-0.2,8.2,1.56,5.85,3.5
315.08,7.87,-0.29,8.24,-0.29,4.12,3.3
315.51,7.55,-0.86,7.26,-0.48,3.84,3.09
315.94,5.8,-0.21,6.38,0.54,4.4,3.38
316.36,4.12,1.23,6.5,1.77,5.18,4.94
316.79,2.98,1.44,7.45,3.1,5.98,6.78
317.22,1.7,-0.49,8.68,3.95,6.31,7.45
317.64,0.54,-2.69,9.89,3.55,5.43,7.41
318.07,0.49,-2.87,10.48,2.81,3.6,7.48
318.5,1.42,-0.94,9.73,2.93,2.15,7.59
318.92,3.97,1.69,8.02,3.31,2.07,7.67
319.35,4.87,3.46,6.71,2.79,3.18,7.83
319.78,5.16,3.3,6.42,-0.53,4.5,7.83
320.2,5.16,1.79,6.34,-0.14,4.54,7.33
320.63,4.66,0.57,4.94,2.35,3.51,6.58
321.06,3.36,0.59,5.08,4.61,3.39,6.39
321.48,2.2,0.73,5.98,4.97,4.5,6.94
321.91,2.54,1.12,7.21,3.7,5.39,7.62
322.34,4.15,1.01,8.22,1.92,5.39,8.03
322.76,5.44,0.15,8.63,0.9,5.37,7.39
323.19,5.92,-0.56,9.01,1.59,5.33,6.79
323.62,6.23,-0.45,9.45,3.24,4.53,6.08
324.04,6.15,0.13,8.11,4.13,3.54,5.48
324.47,5.21,0.49,4.75,3.99,3.31,5.68
324.9,4.2,0.56,2.54,3.63,3.51,6.2
325.32,4.01,0.52,3.7,2.98,3.23,6.07
325.75,4.42,0.33,6.61,1.84,2.55,5.46
326.18,5.02,1.35,8.7,0.95,2.66,4.92
326.6,5.86,2.44,9.26,0.89,4.01,4.75
327.03,6.7,3.23,9.26,1.18,5.5,4.7
327.46,6.7,3.71,9.32,1.23,6.06,3.62
327.88,5.72,4.12,9,1.01,5.75,1.6
328.31,5.13,4.56,8.19,0.89,5.22,1.1
328.74,6,4.31,7.53,1.22,5.16,3.54
329.16,7.22,2.62,7.33,1.8,4.89,7.15
329.59,6.92,0.64,7.17,2.25,4.77,9.43
330.02,4.11,0.05,6.2,3.5,5.2,9.65
330.44,4.25,0.45,6.12,3.85,5.64,8.56
330.87,5.5,0.69,6.27,3.93,5.8,7.18
331.3,7.17,1.19,6.5,4.52,6,6.13
331.72,8.1,3.36,6.9,5.38,6.14,5.45
332.15,7.77,2.83,7.04,5.29,5.61,5.01
332.58,7.26,1.69,6.52,3.96,4.42,4.93
333,7.43,0.24,6.2,2.53,3.69,5.96
333.43,7.38,-1.79,6.96,2.03,4.02,6.05
333.86,6.28,-3.35,8.12,2.11,4.44,5.23
334.28,5.1,-3.22,8.67,1.93,4.16,4.3
334.71,4.82,-1.86,8.73,1.48,3.83,4.32
335.14,4.72,-0.54,8.56,1.13,4.39,4.98
335.56,4.13,0.34,7.99,0.91,5.69,5.43
335.99,3.67,1.22,7.28,0.85,6.16,5.68
336.42,3.69,2.23,7.12,1.68,4.46,5.79
336.84,3.59,2.83,7.46,3.72,1.91,5.27
337.27,3.62,1.91,7.34,5.61,2.26,4.29
337.7,4.49,1.61,6.33,6.09,3.29,3.57
338.12,5.63,1.91,5.16,5.59,3.46,3.3
338.55,6.09,2.63,4.43,4.57,3.3,3.51
338.98,5.87,3.47,4.43,3.1,3.37,4.07
339.41,4.93,3.37,6.97,1.84,4.12,4.41
339.83,3.38,1.71,8.2,1.33,5.41,4.57
340.26,2.43,0.26,8.66,3.32,6.26,4.83
340.69,3.92,0.63,8.63,4.53,6.19,4.47
341.11,5.22,1.67,7.92,3.88,5.68,3.11
341.54,6.53,1.84,6.28,2.48,4.9,1.86
341.97,7.07,1.51,4.82,2.11,4.02,1.74
342.39,6.6,1.51,4.93,2.17,3.84,2.66
342.82,5.63,2.06,6.31,1.88,4.49,5.68
343.25,4.28,1.7,7.76,1.87,5.1,6.77
343.67,2.86,1.38,8.31,2.76,5.27,6.8
344.1,2.43,1.67,7.86,4.5,5.2,5.57
344.53,3.42,2.44,7.27,6.19,4.68,4.05
344.95,4.82,3.15,6.86,6.58,3.9,3.67
345.38,5.8,3.29,6.38,5.84,3.84,4.27
345.81,6.45,2.94,6.08,5.15,4.99,4.41
346.23,6.81,2.76,6.22,4.73,6.34,4.11
346.66,6.47,2.84,6.72,4.25,5.18,4.89
347.09,5.48,2.92,7.34,4.04,4.82,6.66
347.51,4.71,3.2,7.57,4.55,5.65,7.5
347.94,4.89,3.48,7.41,5.46,6.07,6.88
348.37,6.11,1.59,7.53,5.97,5.45,6.06
348.79,8.08,0.45,7.78,5.91,4.75,6.03
349.22,9.86,-0.44,6.05,5.83,4.82,6.31
349.65,9.96,-1.2,5.53,5.77,5.56,5.97
350.07,8.4,-1.48,6.31,5.22,6.25,5.81
350.5,7.21,-1.34,7.1,4.54,6.42,7.36
350.93,7.6,-1.14,6.44,4.68,5.9,9.53
351.35,8.48,-0.96,5.14,4.51,4.59,10.06
351.78,6.98,-1.06,5.14,3.88,3.25,8.8
352.21,5.35,-1.63,6.13,2.44,3.39,7.36
352.63,4.85,-2.2,6.35,0.75,4.95,7.2
353.06,5.1,-1.98,5.91,0.69,5.83,6.37
353.49,4.94,-0.77,5.92,2.73,4.87,5.11
353.91,4.65,3.01,6.19,4.97,3.44,4.87
354.34,4.93,3.72,6.49,5.54,3.2,5.31
354.77,5.4,3.11,7.03,4.43,5.55,5.28
355.19,5.49,2.16,7.35,3.32,5.5,4.87
355.62,5.28,1.48,6.9,3.7,4.16,4.79
356.05,5.33,0.7,6.1,4.4,2.81,5.14
356.47,5.84,-0.22,6.05,3.72,2.42,5.5
356.9,6.29,-0.33,7.26,2.69,3.31,5.62
357.33,6.37,0.39,8.73,2.74,4.97,5.7
357.75,6.21,0.54,8.94,3.19,5.84,5.98
358.18,5.72,-0.57,7.78,3.06,5.48,6.15
358.61,5.16,-2.02,6.24,2.22,4.98,5.87
359.03,5.17,-2.54,7.19,0.9,4.91,5.76
359.46,5.56,-0.82,8,0.02,5.11,6.31
359.89,5.74,0.21,7.61,0.15,5.19,6.73
360.31,6.04,0.98,6.63,0.43,4.63,6.56
360.74,6.55,1.03,6.29,1.58,3.83,6.28
361.17,6.47,1,6.59,3.78,3.63,5.87
361.59,5.84,2.08,6.56,5.55,4.1,5.15
362.02,5.79,3.55,5.7,5.56,4.92,4.74
362.45,6.71,3.69,4.68,4.53,5.58,5.96
362.87,10.07,2.7,4.16,3.87,5.49,6.63
363.3,11.13,2.27,4.37,3.68,4.39,6.4
363.73,10.65,2.71,5.85,3.77,4.53,5.18
364.16,9.21,2.57,8.49,4.46,4.89,4.02
364.58,7.85,1.22,10.72,4.79,5.14,3.87
365.01,6.85,0.16,11.2,3.81,5.47,4.43
365.44,6,0.4,10.26,3.05,6,5.07
365.86,5.41,0.06,9.04,3.83,6.33,5.85
366.29,5.39,0.01,8.13,5.08,6.08,6.91
366.72,6,0.9,7.86,5.51,5.43,8.1
367.14,6.85,2.04,8.67,4.95,4.57,9.3
367.57,7.27,2.79,9.88,3.51,3.55,9.8
368,6.89,3.2,10.11,1.87,2.82,8.76
368.42,6.14,2.84,10.13,1.24,2.72,7.05
368.85,5.45,1.16,10.41,1.85,2.93,6.48
369.28,5.01,-0.67,9.21,2.66,3.13,7.26
369.7,5.1,-0.87,7.4,3.25,3.41,8.29
370.13,5.77,0.07,6.64,3.98,3.63,8.91
370.56,6.83,1.96,6.79,4.54,3.63,9.08
370.98,7.86,3.94,6.71,4.26,3.55,8.4
371.41,8.04,5.43,6.06,4.13,3.44,6.57
371.84,7.21,5.02,5.32,3.55,3.34,4.51
372.26,6.37,3.49,4.63,2.08,3.09,2.85
372.69,6.22,2.46,4.25,0.41,2.24,2.54
373.12,6.18,2.2,4.92,-0.17,1.49,2.52
373.54,4.09,1.9,6.26,0.81,1.59,3.36
373.97,3.76,1,6.91,2.31,1.99,4.77
374.4,4.73,-0.5,6.74,2.75,2.27,6.02
374.82,5.55,-1.84,6.78,1.87,3.45,7.36
375.25,5.19,-2.16,7.59,0.9,5.74,8.89
375.68,4.58,-1.8,8.66,0.49,7.29,9.19
376.1,4.67,-1.42,8.97,0.55,7.06,7.61
376.53,4.95,-0.25,8.2,1.9,6.17,5.82
376.96,4.95,1.04,7.34,4.69,5.53,5.05
377.38,5.26,1.26,7.12,6.45,4.89,4.64
377.81,6.19,0.46,6.31,5.33,4.06,4.08
378.24,6.97,-0.73,5.96,3.25,3.64,4.08
378.66,6.87,-1.76,6.3,2.79,4.12,4.81
379.09,6.03,-2.1,6.94,3.46,4.75,5.08
379.52,5.2,-1.83,7.5,3.62,4.89,4.63
379.94,5.16,-1.74,7.5,3.46,5.42,4.92
380.37,5.71,-1.92,6.87,3.77,6.28,6.25
380.8,6.11,-1.53,6.74,4.3,3.89,7.16
381.22,6.48,-0.48,7.3,5.27,2.81,6.94
381.65,7.17,0.45,6.9,4.73,2.97,6.05
382.08,7.87,0.78,5.46,3.3,3.43,4.23
382.5,8.32,1.02,5.19,2.37,4.04,4.27
382.93,8.64,0.77,6.7,2.51,4.89,5.67
383.36,8.6,0.55,8.08,2.93,5.81,7.86
383.78,7.7,0.83,8.12,3.15,6.92,8.97
384.21,6.34,1.43,7.41,3.29,8.26,7.94
384.64,3.63,1.99,6.94,3.58,9.3,5.69
385.06,2.35,2.2,7.54,4.3,9.15,3.61
385.49,2.19,2.03,9.18,5.3,7.45,2.36
385.92,3,1.92,10.57,5.66,4.8,2.58
386.34,3.53,2.18,10.97,4.58,2.72,4.4
386.77,3.12,2.7,11.03,2.57,2.7,6.36
387.2,2.16,3.33,11.01,1.06,4.45,7.2
387.62,1.55,3.59,8.92,0.88,6,7.68
388.05,2.17,3.92,8.42,1.91,6.42,8.53
388.48,4.14,3.56,9.49,3.55,6.58,8.92
388.91,6.32,2.07,10.99,5.07,6.78,8.37
389.33,7.73,0.27,11.36,5.69,5.02,7.57
389.76,8.69,-0.53,10.73,5.17,3.81,6.84
390.19,9.41,-0.1,10.17,4.23,3.45,6.25
390.61,9,0.49,9.77,3.75,3.56,6.31
391.04,7.75,0.49,8.97,3.5,3.52,6.71
391.47,7.57,0.4,7.75,2.49,3.88,6.6
391.89,8.96,0.57,6.85,3.02,4.69,5.43
392.32,10.15,0.59,7.04,3.71,4.67,4.65
392.75,10.15,1.58,8.13,3.72,4.11,3.89
393.17,9.96,1.73,9.33,3.53,4.53,3.84
393.6,10.22,0.33,10.2,3.66,5.5,4.76
394.03,10.39,-1.03,10.55,3.86,5.69,5.63
394.45,10.32,-0.7,10.08,4.01,5.46,5.62
394.88,9.99,0.39,8.72,4.39,5.82,5.57
395.31,8.58,0.71,7.18,4.76,6.77,6.38
395.73,4.81,0.49,6.73,4.32,7.47,7.24
396.16,5.26,0.6,7.66,3.15,7.1,7.18
396.59,6.45,0.74,8.86,2.47,5.83,6.48
397.01,7.41,0.27,8.74,2.85,4.88,5.77
397.44,8.08,-0.46,7.77,3.66,4.75,5.38
397.87,7.83,-0.54,6.92,4.24,3.55,5.37
398.29,6.37,1.85,6.34,4.2,2.49,5.57
398.72,4.86,2.87,5.73,3.54,2.21,5.6
399.15,4.26,3.04,4.99,2.82,2.76,4.79
399.57,4.4,2.53,4.63,2.81,3.91,3.05
400,4.6,1.62,5.29,3.48,5.13,1.88
401,4.42,0.66,6.71,3.85,5.12,2.65
401.44,4.39,-0.06,7.58,3.36,3.68,4.26
401.88,5.59,-0.22,7.38,2.68,2.66,4.65
402.33,7.56,0.18,7.09,2.09,3.16,3.46
402.77,8.32,0.14,7.49,1.25,4.34,3.79
403.21,7.38,-0.7,8.25,0.01,5.07,4.26
403.65,6,-0.79,9.08,-0.35,4.84,4.69
404.09,5.03,0.41,9.67,1.12,4.05,5.32
404.54,4.56,-0.18,9.09,3.32,3.55,5.54
404.98,4.53,-0.66,7.21,4.46,3.15,4.38
405.42,4.85,0.59,5.77,4.22,2.43,2.54
405.86,5.6,2.28,6.19,3.47,2.13,1.68
406.3,6.47,2.98,7.74,2.63,3.09,2
406.75,6.59,2.81,9.05,1.3,4.73,2.91
407.19,5.76,2.61,9.56,-0.28,5.76,4.35
407.63,4.82,2.27,7.12,-1.03,6.24,5.69
408.07,5.08,1.2,5.22,-0.65,6.37,5.57
408.51,5.57,0.28,5.11,0.42,6.26,3.86
408.96,6.33,0.46,6.8,1.63,6.43,2.24
409.4,6.95,0.79,8.23,2.35,6.67,2.13
409.84,7.06,0.5,7.93,2.38,6.14,3.19
410.28,6.56,1.44,7.03,2.35,5.18,4.13
410.72,5.35,2.46,7.86,2.74,5.03,4.33
411.17,4.13,2.56,10.62,3.23,5.95,4.19
411.61,3.91,1.79,12.98,3.2,7.01,4.61
412.05,4.3,1.14,12.86,2.54,7.4,6.08
412.49,4.46,1.37,10.87,1.7,7.11,7.67
412.93,4.99,2.53,9.32,2.27,6.68,7.11
413.37,6.43,4.08,9.33,3.19,6.86,7.34
413.82,7.97,5.28,10.1,3.83,7.11,8.23
414.26,9.06,5.5,10.45,3.67,5.92,8.75
414.7,9.47,4.52,9.89,2.53,3.87,8.56
415.14,8.39,2.96,8.68,1.09,3.36,7.92
415.58,6.38,2.02,7.55,0.86,4.62,7.19
416.03,5.48,2.08,6.97,2.39,5.84,6.45
416.47,5.91,1.57,7.14,4.25,5.94,5.45
416.91,6.38,1.16,7.7,4.63,4.8,4.37
417.35,6.67,1.49,6.47,3.46,3.16,3.98
417.79,7.42,2.46,6.15,2.02,2.51,4.34
418.24,8.57,3.4,6.85,1.46,3.55,4.56
418.68,7.88,3.46,6.88,2.22,4.89,4.14
419.12,5.05,2.46,5.81,3.5,5.2,3.56
419.56,3.08,1.01,5.29,3.36,5.2,3.7
420,3.62,-0.13,6.21,1.72,5.77,4.98
420.45,5.23,-0.33,7.41,0.93,5.77,6.37
420.89,5.54,0.44,7.38,1.68,4.36,5.92
421.33,4.74,1.24,6.22,2.37,2.64,3.48
421.77,4.56,0.47,5.54,2.69,1.64,1.42
422.21,4.86,-0.23,6.5,3.32,1.7,1.39
422.66,4.28,-0.25,8.45,3.5,2.86,2.59
423.1,2.92,1.04,9.5,1.34,4.14,2.78
423.54,1.71,3.32,8.29,0.66,4.71,3.39
423.98,1.36,5.01,5.41,0.09,5.02,3.42
424.42,2.36,5.06,2.95,-0.55,5.6,2.39
424.87,4.16,4.4,2.33,-0.83,6.22,1.35
425.31,5.4,4.26,2.73,-0.48,4.88,1.21
425.75,5.81,4.25,2.9,0.48,3.11,2.04
426.19,6.24,3.47,3.06,1.6,2.28,3.59
426.63,7.05,1.98,3.62,1.91,2.66,5.21
427.08,7.42,0.34,4.01,0.89,3.8,6.26
427.52,6.5,-0.8,4.13,-0.26,5.32,6.6
427.96,4.53,0.72,4.79,-0.27,6.52,6.42
428.4,2.79,3,6.09,0.17,6.77,5.93
428.84,2.44,4.5,7.68,0.07,6.04,5.31
429.29,3.49,4.15,9.08,0.1,4.66,4.65
429.73,4.97,2.65,10.14,0.93,3.32,4.34
430.17,5.68,1.65,10.78,2.04,2.83,4.6
430.61,5.1,1.63,10.77,2.49,3.3,5.15
431.05,5.46,1.6,9.94,1.94,4.1,5.71
431.5,6.61,0.7,8.37,0.91,4.72,6.26
431.94,6.63,-0.51,6.92,-0.12,4.97,6.4
432.38,5.14,-0.64,6.44,-1.05,4.8,5.49
432.82,4.06,0.73,6.66,-1.57,4.15,3.21
433.26,3.95,3.17,6.89,-1.47,3.13,4.29
433.71,3.6,2.72,7,0.18,2.63,5.83
434.15,2.85,2.24,6.79,1.69,5.16,6.18
434.59,2.78,2.81,6.1,2.29,6.66,5.44
435.03,3.91,4.41,5.47,1.28,7.26,4.37
435.47,5.4,5.75,5.68,0.1,6.9,2.94
435.92,6.2,5.71,6.62,0.08,6.46,1.6
436.36,6.01,4.15,7.5,1.16,6.81,1.13
436.8,5.18,2.44,8.17,2.59,7.45,1.49
437.24,4.02,2.55,9.7,3.26,7.56,2.32
437.68,2.58,4.09,10.38,2.37,6.95,3.47
438.12,1.11,4.87,10.23,0.84,5.38,4.43
438.57,0.45,4.26,9.06,0.4,3.23,4.54
439.01,1.26,1.39,8.05,1.27,2.06,4.15
439.45,2.88,0.42,7.85,2.49,2.65,4.25
439.89,3.86,0.58,7.39,3.61,3.73,5
440.33,3.81,1.41,6.28,4.44,3.99,5.41
440.78,3.84,1.92,5.59,4.65,4.12,4.88
441.22,4.76,1.91,5.71,4.43,5.4,4.18
441.66,5.35,2.08,5.99,4.07,7.5,3.97
442.1,4.38,2.8,6.56,3.68,8.78,3.68
442.54,4.39,3.52,7.96,3.46,8.46,2.92
442.99,5.44,3.47,9.16,3.49,7.34,3.47
443.43,6.12,2.52,8.58,3.4,5.2,5
443.87,5.54,1.44,6.67,2.64,4.2,5.53
444.31,3.91,0.98,5.09,0.92,3.29,4.6
444.75,2.52,1.56,4.44,1.2,2.18,3.55
445.2,2.72,2.09,4.69,1.17,1.31,3.49
445.64,4.12,1.86,5.72,0.37,2.11,4.19
446.08,5.2,0.84,6.84,-0.07,4.78,4.95
446.52,5.38,0.11,7.38,0.7,7.31,5.11
446.96,5.21,0.41,7.65,1.99,7.9,4.36
447.41,5.38,1.64,8.62,2.8,7.2,3.22
447.85,6.02,2.95,10.3,3.02,6.92,2.5
448.29,6.47,3.47,11.49,2.8,7.09,2.55
448.73,6.4,3.58,11.17,2,6.53,3.33
449.17,6.54,3.94,9.96,1.09,5.53,4.53
449.62,7.38,3.77,8.96,0.95,5.56,5.37
450.06,8.18,2.27,8.52,1.46,6.61,5.23
450.5,8.2,-0.48,8.69,1.65,7.12,4.73
450.94,7.83,0.34,8.95,1.2,6.33,5.08
451.38,7.32,2.26,8.18,1.1,4.94,6.12
451.83,6.43,3.96,6.53,1.85,3.88,6.86
452.27,5.63,5.01,5.56,2.14,3.78,7.11
452.71,7.17,6.29,5.82,1.28,4.64,7.12
453.15,7.42,7.56,6.76,0.75,4.94,6.33
453.59,6.39,6.92,7.89,1.65,4,5.2
454.04,5.46,4.03,8.47,2.89,3.1,3.65
454.48,5.41,1.3,7.95,3.12,3.91,2.62
454.92,5.75,1.02,7.34,2.66,6.25,2.72
455.36,6.02,2.88,7.77,3.18,8.47,3.56
455.8,6.22,4.8,8.52,4.07,9.36,4.62
456.25,6.62,5.71,8.39,4.99,8.99,5.53
456.69,7.21,5.66,8.27,4.92,8.21,5.64
457.13,7.35,5.23,11.67,3.61,7.83,4.54
457.57,6.64,4.67,11.96,2.65,7.82,2.92
458.01,5.6,4.71,10.04,2.96,7.52,2.17
458.46,5.11,5.25,7.72,3.12,7.1,3.21
458.9,5.86,5.51,6.88,1.81,7.49,5.5
459.34,7.35,5.23,7.31,-0.15,8.74,7.42
459.78,7.96,4.45,7.8,-0.99,9.96,8.12
460.22,6.71,3.2,8.24,-0.37,10.63,7.89
460.67,4.47,1.7,8.95,0.69,10.3,6.99
461.11,2.83,0.64,9.37,1.41,5.85,5.79
461.55,2.36,0.92,9.29,1.47,4.35,5.09
461.99,2.82,4.8,9.61,0.87,4.52,5.21
462.43,4.05,6.35,10.49,0.32,5.87,5.63
462.87,5.47,6.22,11.12,0.54,7.72,5.98
463.32,6.14,4.62,11.27,1.34,9.01,7.01
463.76,6,3.24,10.91,1.77,8.85,6.81
464.2,6.57,3.29,9.72,1.32,7.77,6.1
464.64,6.98,4.2,7.86,1.07,6.71,6.23
465.08,6.43,4.92,6.54,2.3,5.9,7.18
465.53,5.66,5.4,6.69,4.81,5.34,7.55
465.97,5.95,6.04,6.69,4.64,5.02,7.02
466.41,6.93,6.33,4.47,4.18,4.71,6.55
466.85,6.99,5.58,1.46,3.45,4.35,6.52
467.29,6.1,4.42,3.25,2.88,4.31,6.48
467.74,5.74,5.11,4.95,3.29,4.49,6.24
468.18,6.27,6.03,6.43,4.32,4.4,5.99
468.62,6.95,5.91,8.51,4.71,4.2,6.05
469.06,7.59,5.19,10.64,4.31,4.32,6.57
469.5,8.12,4.46,11.58,4.41,4.46,6.55
469.95,7.99,3.46,10.93,5.06,4.49,5.22
470.39,7.11,2.48,9.21,4.59,4.87,3.74
470.83,6.14,2.59,7.21,2.75,5.34,3.32
471.27,5.45,3.85,6.03,1.28,5.74,3.77
471.71,4.98,4.54,6.17,0.73,6.07,4.69
472.16,4.71,3.29,6.77,0.18,6.43,5.82
472.6,4.29,1.42,7.08,-0.5,6.95,6.54
473.04,3.24,1.22,7.42,-0.62,7.79,6.07
473.48,2,3.23,8.5,0.03,8.79,3.11
473.92,1.37,2.58,10.26,0.84,9.14,3.41
474.37,1.73,1.88,11.25,1.06,8.23,4.58
474.81,3.32,1.5,10.06,1,6.45,5.08
475.25,5.51,0.72,7.84,1.42,4.67,4.28
475.69,6.89,0.18,6.94,2.26,3.62,2.69
476.13,7,1.18,7.28,3.44,3.73,1.49
476.58,7.34,3.24,7.47,3.77,4.65,1.8
477.02,7.53,4.73,9.4,4.11,5.28,3.67
477.46,7.46,4.99,11.24,4.08,5.23,5.91
477.9,7.35,4.6,12.59,3.56,5.44,7.16
478.34,7.14,4.17,13.39,3.28,6.45,6.78
478.79,6.33,3.87,13.37,3.95,7.62,5.03
479.23,5.09,3.59,12.52,5.42,7.34,2.97
479.67,4.9,3.72,11.69,6.54,6.28,1.69
480.11,6.51,4.38,11.37,6.1,5.78,2.16
480.55,8.43,5.06,11.26,4.22,6,5.05
481,8.86,4.58,11.22,2.49,6.41,8.55
481.44,7.92,2.83,11.38,2.14,6.59,9.17
481.88,6.7,1.36,11.53,2.95,6.56,6.87
482.32,5.6,1.36,11.43,4.11,6.55,4.97
482.76,4.52,2.4,11.18,4.97,6.67,4.94
483.21,3.65,3.3,10.99,5,6.88,5.78
483.65,3.49,3.41,10.72,4.14,6.97,6.64
484.09,4.38,3.09,10.2,3.09,6.58,5.59
484.53,6.14,3.1,9.97,2.62,5.99,4.53
484.97,8.14,3.42,10.89,2.4,6.41,4.75
485.42,9.57,3.5,12.56,1.52,7.91,5.42
485.86,9.88,4.39,13.06,0.17,8.92,4.78
486.3,8.97,5.75,11.43,-0.67,8.61,3.12
486.74,6.75,6.59,8.73,0.78,7.52,2.54
487.18,6.85,6.47,8.68,2.53,6.61,3.78
487.62,7.31,5.46,8.01,3.04,6.44,5.31
488.07,7.96,4.24,6.88,1.49,6.24,6.06
488.51,8.93,3.96,6.14,-0.62,5.88,6.64
488.95,9.67,4.72,6.39,-1.48,6.02,7.36
489.39,9.58,5.38,7.72,-0.81,6.99,7.31
489.83,8.89,5.49,9.64,0.91,8.32,6.03
490.28,8.35,5.8,11.3,3.05,8.47,4.61
490.72,8.15,6.45,12.17,4.7,6.9,4.18
491.16,8.02,5.35,12.24,5.19,5.22,4.21
491.6,8.24,4.04,11.52,4.7,4.91,3.68
492.04,9.22,3.58,10.25,4.07,5.52,3.04
492.49,10.45,4,9.57,3.57,6.02,3.45
492.93,10.81,4.56,10.07,2.87,6.16,4.79
493.37,10.19,4.83,10.49,2.44,6.52,5.84
493.81,9.63,5.38,9.89,2.94,7.29,6.04
494.25,9.38,6.81,8.75,3.47,7.3,6.04
494.7,8.76,8.33,7.34,3.02,5.87,6.53
495.14,7.62,8.74,6.22,2.14,4.29,6.92
495.58,6.37,8.27,6.56,1.78,3.94,6.68
496.02,5.44,7.58,7.92,1.98,4.57,5.9
496.46,5.24,4.85,10.21,2.34,5.07,5.06
496.91,5.66,4.02,12.08,2.77,3.77,4.52
497.35,6,4.68,13.28,2.79,2.87,4.34
497.79,6.23,5.96,12.38,1.36,2.27,4.26
498.23,8.52,6.54,10.16,0,2.35,4.23
498.67,9.52,5.92,8.47,-0.47,3.68,4.32
499.12,9.86,4.28,8.26,-0.41,5.76,4.32
499.56,9.11,2.39,9.21,-0.41,7.09,3.88
500,7.2,1.52,10.38,-0.38,7.09,3.16
501,5.71,2.28,11.42,0.38,6.6,3.12
501.61,5.85,4.24,12.51,2.12,6.57,4.41
502.22,7.02,6.33,12.79,4.07,7.01,6.01
502.83,8.41,6.94,11.19,5.46,6.99,6.51
503.44,9.55,1.88,8.78,5.93,6.01,6.33
504.06,9.65,0.46,7.62,5.13,5.1,6.49
504.67,8.65,1.48,7.92,3.2,5.28,6.88
505.28,8.07,2.76,8.33,1.26,5.95,7.19
505.89,8.82,2.48,8.33,0.33,6.39,7.41
506.5,9.5,1.73,8.53,0.21,6.51,6.27
507.11,8.64,2.45,9.32,0.34,5.87,5.49
507.72,6.37,4.18,10.13,0.68,4.26,5.75
508.33,3.85,5.08,10.17,1.16,3.57,6.63
508.94,2.6,4.41,9.64,1.41,4.97,6.96
509.56,3.43,2.69,9.3,1.64,5.73,6.79
510.17,5.58,1.17,9.41,2.38,5.93,7.25
510.78,7.73,1.19,9.95,3.45,6.64,8.43
511.39,9.5,3.96,10.65,4.45,8.12,8.82
